Line Item,Dec 2002,Dec 2003,%Chg,Dec 2004,%Chg,Dec 2005,%Chg,Mar 2006,%Chg
ASSETS:,Amount,Amount,,Amount,,Amount,,Amount,
Cash & Equivalents,10290934,7508187,27.0,7404750,1.4,6468119,12.6,14096011,117.9
TOTAL INVESTMENTS,35386103,43909092,24.1,25841207,41.1,13866761,46.3,13598283,1.9
Loans Held for Sale,0,0,N/A,0,N/A,0,N/A,0,N/A
Real Estate Loans,67538761,78785880,16.7,99412248,26.2,111473252,12.1,110361438,1.0
Unsecured Loans,9981207,10149099,1.7,12343831,21.6,13134536,6.4,12023018,8.5
Other Loans,29303766,27325019,6.8,27614387,1.1,29502765,6.8,28534521,3.3
TOTAL LOANS,106823734,116259998,8.8,139370466,19.9,154110553,10.6,150918977,2.1
