Line Item,Dec 2007,Dec 2008,%Chg,Dec 2009,%Chg,Dec 2010,%Chg,Mar 2011,%Chg
ASSETS:,Amount,Amount,,Amount,,Amount,,Amount,
Cash & Equivalents,10509093,6590839,37.3,14770756,124.1,6869238,53.5,4072035,40.7
TOTAL INVESTMENTS,14329584,25399839,77.3,41608501,63.8,56742564,36.4,67555007,19.1
Loans Held for Sale,0,0,N/A,0,N/A,0,N/A,0,N/A
Real Estate Loans,119144600,131299028,10.2,130566815,0.6,122939853,5.8,119451431,2.8
Unsecured Loans,14701927,15323243,4.2,15361416,0.2,15501279,0.9,13969103,9.9
Other Loans,34314787,38765539,13.0,45662034,17.8,43540485,4.6,42632723,2.1
TOTAL LOANS,168161314,185387810,10.2,191590265,3.3,181981617,5.0,176053257,3.3
