month,bidding_no,vehicle_class,premium
2017-10,2,Auto,4903
2017-10,2,Other,52000
2017-11,1,Real Estate,47112
2017-11,1,Commercial,57414
2017-11,1,Unsecured,58036
2017-11,1,Auto,5502
2017-11,1,Other,57000
2017-11,2,Real Estate,46791
2017-11,2,Commercial,57390
2017-11,2,Unsecured,57701
2017-11,2,Auto,5992
2017-11,2,Other,57501
2017-12,1,Real Estate,42339
2017-12,1,Commercial,53711
2017-12,1,Unsecured,42000
2017-12,1,Auto,6552
2017-12,1,Other,54334
2017-12,2,Real Estate,38200
2017-12,2,Commercial,47002
2017-12,2,Unsecured,45112
2017-12,2,Auto,7501
2017-12,2,Other,48011
2018-01,1,Real Estate,41400
2018-01,1,Commercial,45289
2018-01,1,Unsecured,40101
2018-01,1,Auto,7701
2018-01,1,Other,47390
2018-01,2,Real Estate,36890
2018-01,2,Commercial,42661
2018-01,2,Unsecured,39000
2018-01,2,Auto,8001
2018-01,2,Other,44000
2018-02,1,Real Estate,40000
2018-02,1,Commercial,42322
2018-02,1,Unsecured,38303
2018-02,1,Auto,8451
2018-02,1,Other,39903
2018-02,2,Real Estate,36810
2018-02,2,Commercial,39000
2018-02,2,Unsecured,36859
2018-02,2,Auto,7667
2018-02,2,Other,38801
2018-03,1,Real Estate,38830
2018-03,1,Commercial,39001
2018-03,1,Unsecured,36003
2018-03,1,Auto,8009
2018-03,1,Other,39000
2018-03,2,Real Estate,38000
2018-03,2,Commercial,37010
2018-03,2,Unsecured,35001
2018-03,2,Auto,7602
2018-03,2,Other,38000
2018-04,1,Real Estate,37000
2018-04,1,Commercial,37605
2018-04,1,Unsecured,34001
2018-04,1,Auto,7114
2018-04,1,Other,38039
2018-04,2,Real Estate,38510
2018-04,2,Commercial,37330
2018-04,2,Unsecured,34202
2018-04,2,Auto,7115
2018-04,2,Other,38389
2018-05,1,Real Estate,38941
2018-05,1,Commercial,38501
2018-05,1,Unsecured,33190
2018-05,1,Auto,7204
2018-05,1,Other,38600
2018-05,2,Real Estate,38001
2018-05,2,Commercial,37989
2018-05,2,Unsecured,29901
2018-05,2,Auto,7115
2018-05,2,Other,38700
2018-06,1,Real Estate,36426
2018-06,1,Commercial,36000
2018-06,1,Unsecured,29902
2018-06,1,Auto,7001
2018-06,1,Other,37000
2018-06,2,Real Estate,34110
2018-06,2,Commercial,33900
2018-06,2,Unsecured,32001
2018-06,2,Auto,6889
2018-06,2,Other,34400
2018-07,1,Real Estate,25000
2018-07,1,Commercial,31000
2018-07,1,Unsecured,31092
2018-07,1,Auto,6514
2018-07,1,Other,31001
2018-07,2,Real Estate,32699
2018-07,2,Commercial,32551
2018-07,2,Unsecured,30889
2018-07,2,Auto,6189
2018-07,2,Other,32809
2018-08,1,Real Estate,33798
2018-08,1,Commercial,34381
2018-08,1,Unsecured,30389
2018-08,1,Auto,5514
2018-08,1,Other,33420
2018-08,2,Real Estate,31997
2018-08,2,Commercial,32429
2018-08,2,Unsecured,29902
2018-08,2,Auto,4889
2018-08,2,Other,32311
2018-09,1,Real Estate,30209
2018-09,1,Commercial,32001
2018-09,1,Unsecured,27001
2018-09,1,Auto,4390
2018-09,1,Other,31801
2018-09,2,Real Estate,28000
2018-09,2,Commercial,31307
2018-09,2,Unsecured,27104
2018-09,2,Auto,4214
2018-09,2,Other,32000
2018-10,1,Real Estate,28457
2018-10,1,Commercial,31301
2018-10,1,Unsecured,28501
2018-10,1,Auto,4109
2018-10,1,Other,32552
2018-10,2,Real Estate,25556
2018-10,2,Commercial,31302
2018-10,2,Unsecured,29501
2018-10,2,Auto,3951
2018-10,2,Other,32900
2018-11,1,Real Estate,28199
2018-11,1,Commercial,32302
2018-11,1,Unsecured,29501
2018-11,1,Auto,2509
2018-11,1,Other,32000
2018-11,2,Real Estate,25000
2018-11,2,Commercial,31101
2018-11,2,Unsecured,27509
2018-11,2,Auto,2989
2018-11,2,Other,30959
2018-12,1,Real Estate,23568
2018-12,1,Commercial,31001
2018-12,1,Unsecured,27009
2018-12,1,Auto,3399
2018-12,1,Other,30851
2018-12,2,Real Estate,25501
2018-12,2,Commercial,31001
2018-12,2,Unsecured,27001
2018-12,2,Auto,3789
2018-12,2,Other,31809
